YEAR,DAY,ALLSKY_SFC_PAR_TOT,TOA_SW_DWN,T2M,T2MDEW,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,QV2M,GWETROOT
2015,2015-01-01,13.55,42.34,24.29,19.69,29.02,19.8,0.4,77.04,1.08,1.79,15.83,0.68
2015,2015-01-02,12.64,42.32,24.32,20.73,28.55,20.96,1.31,81.44,1.26,2.35,16.89,0.68
2015,2015-01-03,11.21,42.31,24.57,19.58,30.71,19.41,2.4,76.98,0.61,1.22,15.73,0.68
2015,2015-01-04,10.76,42.3,23.15,19.85,27.09,20.54,5.22,83.01,0.85,1.17,15.96,0.68
2015,2015-01-05,9.85,42.29,21.34,19.04,24.67,19.21,10.38,87.24,1.31,2.72,15.14,0.68
2015,2015-01-06,8.97,42.28,22.19,19.08,26.75,19.1,3,83.97,1.02,2.08,15.19,0.69
2015,2015-01-07,12.88,42.26,23.08,18.79,28.2,18.41,0.28,78.76,1.05,2.06,14.91,0.69
2015,2015-01-08,14.05,42.24,24.32,18.13,30.22,18.76,0.3,71.43,0.84,1.48,14.33,0.68
2015,2015-01-09,14.1,42.22,24.88,17.76,31.28,19.1,0.01,67.58,1.06,1.58,14.01,0.67
2015,2015-01-10,14.03,42.19,24.88,18.45,30.6,19.02,1.5,69.67,0.88,1.08,14.65,0.66
2015,2015-01-11,13.83,42.16,25.46,17.42,32.6,18.42,3.91,65.86,1.16,2.16,13.76,0.66
2015,2015-01-12,14.06,42.12,26.35,16.9,34.05,17.99,0.29,59.99,0.79,1.45,13.33,0.66
2015,2015-01-13,13.75,42.1,26.31,18.25,32.86,20.49,0.55,65.51,1.06,1.83,14.52,0.65
2015,2015-01-14,12.63,42.07,26,18.11,31.72,20.93,0.11,64.44,1.02,1.58,14.34,0.64
2015,2015-01-15,13.43,42.03,26.02,18.13,32.42,20.48,0.02,65.49,1.15,1.8,14.37,0.64
2015,2015-01-16,12.8,41.99,26.33,17.92,33.15,19.63,0,64.05,1.23,2.05,14.2,0.63
2015,2015-01-17,13.96,41.95,26.65,16.41,34.01,19.68,0,58.28,1.11,1.74,12.97,0.63
2015,2015-01-18,14.09,41.9,27.24,15.91,34.86,18.88,0,54.54,1.03,2.14,12.5,0.62
2015,2015-01-19,13.36,41.85,27.16,14.65,35.64,18.51,0,51.79,1.15,2.12,11.57,0.62
2015,2015-01-20,13.97,41.8,26.79,15.36,35.13,18.63,1.25,54.53,1,1.83,12.1,0.62
2015,2015-01-21,12.1,41.75,26.71,16.63,33.53,19.89,1.73,58.04,0.88,1.27,13.16,0.62
2015,2015-01-22,9.4,41.7,22.91,18.97,25.42,20.61,6.22,79.42,1.16,1.7,15.14,0.62
2015,2015-01-23,5.66,41.65,21.4,18.36,24.76,19.64,7.8,83.76,1.13,1.96,14.55,0.64
2015,2015-01-24,9.87,41.59,21.86,17.01,27.68,17.47,6.12,76.64,1.44,2.12,13.36,0.64
2015,2015-01-25,10.62,41.53,22.03,17.43,27.97,16.86,5.31,77.86,0.94,1.48,13.72,0.65
2015,2015-01-26,7.54,41.46,22.88,18.37,27.52,19.15,6.67,77.73,0.69,1.27,14.58,0.65
2015,2015-01-27,9.57,41.4,22.61,18.09,26.84,18.43,4.28,76.79,0.79,1.3,14.3,0.65
2015,2015-01-28,10.1,41.34,22.4,18.69,27.86,18.97,0.79,81.26,0.84,1.67,14.85,0.66
2015,2015-01-29,10.67,41.28,23.52,18.14,29.1,18.76,0.1,75.08,1.04,2.13,14.37,0.65
2015,2015-01-30,11.84,41.22,24.59,18.03,31.32,19.01,0.13,70.16,0.89,1.21,14.27,0.64
2015,2015-01-31,11.58,41.16,23.83,20.06,27.78,20.82,15.77,80.47,1.05,1.64,16.18,0.65
2015,2015-02-01,12.52,41.09,23.43,19.73,28.3,19.59,14.01,81.35,1.4,1.97,15.84,0.68
2015,2015-02-02,10.2,41.02,22.31,19.8,25.23,19.91,7.47,86.14,1.01,1.57,15.91,0.68
2015,2015-02-03,12.1,40.94,22.64,18.52,27.33,18.28,5.09,79.39,0.96,1.66,14.72,0.68
2015,2015-02-04,6.46,40.86,21.3,17.95,24.61,18.37,11.51,81.68,0.95,1.79,14.21,0.68
2015,2015-02-05,4.96,40.78,20.52,18.45,23.92,17.58,13.73,88.57,1.44,2.8,14.73,0.7
2015,2015-02-06,6.2,40.7,21.4,18.99,25.24,18.96,11.72,87.31,1.61,2.79,15.26,0.71
2015,2015-02-07,8.43,40.61,22.04,17.7,27.51,17.44,1.34,78.95,1.22,1.88,14.04,0.7
2015,2015-02-08,9.84,40.52,22.82,18.33,29.58,17.59,4.02,78.67,0.72,1.32,14.6,0.69
2015,2015-02-09,8.01,40.43,22.16,19.87,26.21,19.5,24.77,87.66,1.46,2.41,16.03,0.7
2015,2015-02-10,7.57,40.34,22.5,19.78,27.68,18.75,8.99,85.92,0.96,1.8,15.92,0.71
2015,2015-02-11,9.67,40.24,22.14,20.03,25.71,19.52,5.77,88.53,1.24,2.12,16.12,0.71
2015,2015-02-12,11.75,40.14,23.52,19.92,29.02,19.09,0.22,82.1,1.11,1.78,16.01,0.71
2015,2015-02-13,11.56,40.03,24.12,18.57,30.29,18.54,0.02,74.16,0.82,1.23,14.73,0.7
2015,2015-02-14,11.12,39.93,24.64,18.37,29.72,18.76,0.72,69.89,0.69,1.05,14.57,0.68
