YEAR,DAY,ALLSKY_SFC_PAR_TOT,TOA_SW_DWN,T2M,T2MDEW,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,QV2M,GWETROOT
2015,2015-01-01,7.15,35.02,15.66,13.02,20.51,12.37,0.75,85.91,1.34,2.65,11.93,0.73
2015,2015-01-02,6.75,35.04,14.14,11.51,18.74,10.33,0.19,85.81,1.78,3.37,10.78,0.72
2015,2015-01-03,7.59,35.07,14.56,12.21,19.41,11.21,0.25,87.19,2.22,3.7,11.28,0.72
2015,2015-01-04,6.87,35.1,14.41,12.16,19.1,11.03,0.48,87.45,1.85,3.75,11.24,0.71
2015,2015-01-05,6.75,35.14,13.93,11.39,18.71,9.4,0.01,86.06,1.8,3.36,10.69,0.71
2015,2015-01-06,9.84,35.18,14.13,10.96,19.46,9.65,0,82.6,1.91,3.48,10.4,0.7
2015,2015-01-07,6.44,35.22,13.39,9.83,18.49,8.59,0,81.42,1.8,3.36,9.66,0.7
2015,2015-01-08,4.88,35.26,13.94,11.78,18.68,10.46,0.45,87.93,1.59,3.21,10.99,0.69
2015,2015-01-09,4.23,35.3,14.06,12.2,18.39,10.79,0.7,89.26,1.9,3.61,11.28,0.69
2015,2015-01-10,5.84,35.33,14.93,12.17,20.42,11.19,0.44,85.17,1.78,3.25,11.26,0.69
2015,2015-01-11,5.23,35.37,15.51,13.36,19.73,12.27,0.71,87.97,2.15,3.94,12.18,0.68
2015,2015-01-12,7.05,35.41,16,13.55,20.44,12.2,0.61,86.63,1.66,3.36,12.34,0.68
2015,2015-01-13,9.35,35.46,15.8,12.81,21.79,10.67,0.21,84.3,1.12,2.4,11.77,0.68
2015,2015-01-14,6.01,35.5,16.21,14.1,20.12,13.17,1.12,87.81,1.24,2.39,12.8,0.67
2015,2015-01-15,7.46,35.55,16.55,13.48,21.73,12.71,0.58,84.34,0.92,1.92,12.28,0.67
2015,2015-01-16,6.22,35.59,16.33,13.75,20.99,12.8,0.19,85.88,1.14,2.37,12.48,0.66
2015,2015-01-17,7.26,35.64,16.57,13.51,21.65,13.28,3.13,83.73,0.41,0.72,12.32,0.66
2015,2015-01-18,5.69,35.68,15.89,13.58,18.79,13.57,4.88,87.49,0.42,1.19,12.38,0.67
2015,2015-01-19,6.64,35.72,15.38,13.07,18.92,13.16,2.63,86.76,0.51,0.7,11.96,0.67
2015,2015-01-20,5.73,35.77,15.46,13.11,18.96,12.55,2.95,87.05,0.86,2.13,11.99,0.67
2015,2015-01-21,4.84,35.82,15.15,13.13,18.42,11.95,4.53,88.58,0.86,1.87,12,0.67
2015,2015-01-22,5.26,35.87,15.2,13.38,18.54,12.63,4.55,89.77,0.91,1.96,12.18,0.68
2015,2015-01-23,7.52,35.92,14.87,13.06,18.18,12.21,5.62,89.78,0.45,0.77,11.94,0.68
2015,2015-01-24,5.1,35.97,15.53,13.33,20.46,12.49,4.01,88.25,0.44,0.89,12.16,0.69
2015,2015-01-25,7.13,36.02,16.49,13.64,21.77,12.67,0,84.92,0.97,2.12,12.41,0.68
2015,2015-01-26,6.12,36.07,15.96,13.76,21.29,12.03,3.77,87.24,0.87,1.71,12.52,0.68
2015,2015-01-27,6.18,36.12,16.04,14.12,20.1,13.45,3.25,89.3,0.54,1.26,12.8,0.68
2015,2015-01-28,5.62,36.17,15.85,13,20.19,12.42,3.3,84.59,1.14,2.54,11.9,0.68
2015,2015-01-29,5.83,36.23,14.66,11.88,19.5,11.4,0.76,85.17,1.61,3.07,11.08,0.68
