YEAR,DAY,ALLSKY_SFC_PAR_TOT,TOA_SW_DWN,T2M,T2MDEW,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,QV2M,GWETROOT
2015,2015-01-01,10.22,31.81,15.82,5.38,23.68,8.04,0,52.4,0.64,1.01,6.89,0.71
2015,2015-01-02,10.59,31.84,15.55,3.9,23.7,6.83,0,48.48,0.57,0.98,6.22,0.71
2015,2015-01-03,10.46,31.88,16.07,3.52,23.89,8.07,0,45.28,0.61,1.08,6.09,0.7
2015,2015-01-04,10.23,31.92,15.98,6.53,23.79,9.21,0,55.96,0.59,1.03,7.49,0.7
2015,2015-01-05,9.51,31.97,16.66,8.65,24.09,8.58,0.03,61.92,0.61,0.99,8.62,0.7
2015,2015-01-06,9.8,32.02,17.27,9.99,24.67,9.81,0,65.19,0.7,0.99,9.41,0.69
2015,2015-01-07,10.09,32.08,17.49,10.38,24.59,10.36,0,66.24,0.57,0.82,9.66,0.69
2015,2015-01-08,10.16,32.13,17.5,9.74,24.79,10.24,0,63.57,0.7,0.97,9.24,0.69
2015,2015-01-09,9.59,32.18,16.98,9.35,24.73,9.19,0.08,64.4,0.73,1.01,9.02,0.68
2015,2015-01-10,9.2,32.23,16.43,11.81,24.01,10.42,0.96,77.79,0.64,0.88,10.6,0.68
2015,2015-01-11,9.03,32.28,17.14,11.76,23.96,10.52,0,73.42,0.64,0.85,10.58,0.68
2015,2015-01-12,9.38,32.34,17.56,12.03,24.69,10.43,0,73.07,0.74,1.05,10.76,0.68
2015,2015-01-13,8.01,32.41,17.49,12.04,23.83,11.5,0.01,72.83,0.75,1.02,10.76,0.68
2015,2015-01-14,9.22,32.47,17.86,9.55,25.38,10.65,0,61.62,0.61,0.86,9.11,0.67
2015,2015-01-15,9.81,32.54,17.32,6.81,25.22,9.23,0,53.84,0.63,0.98,7.58,0.67
2015,2015-01-16,9.38,32.6,17.06,5,25.23,7.66,0,48.61,0.6,0.91,6.74,0.67
2015,2015-01-17,9.97,32.67,18.15,8.83,26.47,10.29,0,58.11,0.65,0.87,8.77,0.66
2015,2015-01-18,9.38,32.74,18.03,10.79,26.04,10.5,0.09,68.07,0.48,0.73,9.95,0.66
2015,2015-01-19,8.82,32.8,18.08,12.12,24.59,12.69,0.87,72.31,0.61,0.85,10.85,0.66
2015,2015-01-20,8.6,32.87,18.47,12.05,25.04,12.06,0.33,69.41,0.65,0.91,10.78,0.66
2015,2015-01-21,9.11,32.95,18.98,11.8,25.72,11.67,0,66.62,0.59,0.88,10.6,0.66
2015,2015-01-22,9.71,33.03,19.2,11.62,26.7,11.67,0,65.37,0.64,1.09,10.46,0.66
2015,2015-01-23,8.72,33.1,19.72,10.52,27.16,11.96,0,59.15,0.59,1.03,9.75,0.65
2015,2015-01-24,9.99,33.18,19.38,9.85,26.49,12.73,0,57.19,0.63,1,9.36,0.65
2015,2015-01-25,10.13,33.26,18.83,8.89,26.66,12.17,0,55.86,0.63,0.87,8.79,0.65
2015,2015-01-26,10.58,33.34,18.32,5.61,27.2,10.15,0,46.77,0.77,1.04,7,0.65
2015,2015-01-27,10.64,33.41,18.6,5.12,27.73,9.93,0,46.07,0.61,0.95,6.81,0.64
2015,2015-01-28,10.62,33.5,19.52,5.44,28.08,10.61,0,43.44,0.6,1.04,6.96,0.64
2015,2015-01-29,11.02,33.59,19.13,4.6,28.07,10.61,0,43,0.69,1.01,6.56,0.64
2015,2015-01-30,11.02,33.68,19.47,3.59,28.21,11.05,0,38.96,0.6,1.08,6.09,0.64
2015,2015-01-31,11.25,33.77,19.17,4.86,28.57,11.25,0,43.95,0.61,1.02,6.7,0.64
2015,2015-02-01,11.08,33.86,19.16,4.08,28.71,9.88,0,42.22,0.69,0.95,6.35,0.63
2015,2015-02-02,11.24,33.96,19.63,2.13,29.06,9.27,0,36.08,0.65,1.09,5.53,0.63
2015,2015-02-03,10.46,34.04,19.63,2.2,29.18,10.81,0,36.12,0.71,1,5.64,0.63
2015,2015-02-04,11.19,34.13,19.91,5.42,29.31,11.47,0,42.35,0.83,1.06,6.92,0.63
2015,2015-02-05,10.76,34.22,20.23,5.11,29.27,11.15,0,40.88,0.67,1.02,6.77,0.63
2015,2015-02-06,10.54,34.31,20.18,7.56,29.16,10.88,0,48.1,0.62,0.95,8.01,0.63
2015,2015-02-07,10.64,34.4,21.22,7.54,29.89,12.22,0.01,45.48,0.67,1.09,7.99,0.63
2015,2015-02-08,9.9,34.49,21.2,8.89,29.71,11.95,0.11,50.31,0.64,0.91,8.87,0.63
2015,2015-02-09,10.55,34.58,21.41,10.29,29.06,14.9,0.8,53.93,0.6,0.93,9.69,0.63
2015,2015-02-10,10.11,34.66,21.12,7.08,29.4,14.57,0.04,45.25,0.57,0.97,7.84,0.62
